incident_id,sentinel_static_severity_code,iam_recent_role_elevation,iam_scope_level_code,mfa_bypassed,unusual_geo_ip,storage_public_access_enabled,storage_sas_unrestricted,exfiltrated_data_mb,nsg_unrestricted_inbound_any,imds_token_accessed,keyvault_secret_accessed,contains_sensitive_pii_flag,custom_role_wildcard_perm,dynamic_ml_risk_score,dynamic_risk_label
INC-SIM-1049,1,1,0,0,0,0,0,951.75,0,0,0,1,0,48.4,Medium
INC-SIM-1050,1,0,3,0,1,0,0,37.91,0,0,0,1,0,45.7,Medium
INC-SIM-1051,2,0,0,0,0,0,0,23.66,0,0,0,0,0,22.3,Low
INC-SIM-1052,1,0,0,0,0,0,0,38.11,0,0,0,0,0,15.8,Low
INC-SIM-1053,2,1,1,0,0,0,0,98.89,0,0,0,0,1,66.3,High
INC-SIM-1054,1,1,1,1,0,0,0,101.89,0,0,1,0,0,59.7,Medium
INC-SIM-1055,2,0,1,0,0,0,0,15.19,1,0,0,1,0,52.6,Medium
INC-SIM-1056,2,0,1,1,1,0,0,31.05,0,0,0,1,1,81.6,High
INC-SIM-1057,1,0,1,0,0,0,0,0.13,0,0,0,0,0,18.5,Low
INC-SIM-1058,2,0,1,1,1,0,0,33.06,1,0,0,0,0,64.2,Medium
INC-SIM-1059,3,1,0,0,0,0,0,170.27,0,0,0,1,1,83.8,High
INC-SIM-1060,1,0,1,0,0,0,0,48.1,1,0,0,1,1,65.5,High
INC-SIM-1061,2,0,0,1,0,0,0,45.8,0,0,0,0,0,33.4,Low
INC-SIM-1062,1,0,1,1,0,0,0,14.41,1,0,0,0,0,40.2,Medium
INC-SIM-1063,1,0,3,0,0,1,0,391.09,0,0,0,0,0,52.1,Medium
INC-SIM-1064,2,0,1,1,0,0,0,6.07,1,0,0,0,0,48.6,Medium
INC-SIM-1065,2,0,0,1,1,0,0,5.87,1,0,0,1,0,63.4,Medium
INC-SIM-1066,3,0,1,0,1,0,0,43.97,1,0,0,1,0,77.1,High
INC-SIM-1067,3,0,2,0,0,0,0,49.95,0,0,0,0,0,46.7,Medium
INC-SIM-1068,2,0,0,0,1,0,0,11.68,1,0,0,1,0,56.7,Medium
INC-SIM-1069,3,0,1,1,1,0,0,1.85,0,0,0,0,0,61.9,Medium
INC-SIM-1070,2,0,2,0,1,0,0,23.47,1,0,0,1,0,64.3,Medium
INC-SIM-1071,3,1,2,0,0,0,0,1029.36,0,0,0,1,1,99.9,Critical
INC-SIM-1072,2,0,1,1,0,0,0,45.17,0,0,0,1,0,50.4,Medium
INC-SIM-1073,1,0,1,0,1,0,0,3.95,1,0,0,0,0,39.8,Low
INC-SIM-1074,1,0,0,1,1,0,0,7.9,0,0,0,0,0,32.3,Low
INC-SIM-1075,2,0,0,1,0,0,0,24.16,0,0,0,0,0,36.3,Low
INC-SIM-1076,3,1,0,0,1,0,0,466.22,0,0,1,0,0,80.6,High
INC-SIM-1077,2,0,1,0,1,0,0,32.96,1,0,0,1,0,59.4,Medium
INC-SIM-1078,2,1,0,0,1,0,0,387.62,1,0,1,1,0,92.4,Critical
INC-SIM-1079,3,0,2,1,0,0,0,48.14,0,0,0,1,0,67.4,High
INC-SIM-1080,3,1,0,1,0,0,0,558.64,0,0,0,1,1,93.7,Critical
INC-SIM-1081,1,0,0,1,0,1,0,32.65,1,1,0,0,0,70.3,High
INC-SIM-1082,2,0,2,0,0,0,0,37.16,1,0,0,1,0,57.7,Medium
INC-SIM-1083,2,0,1,0,1,0,0,18.53,0,0,0,1,0,51.3,Medium
INC-SIM-1084,2,1,0,0,0,0,0,303.23,0,0,0,0,0,43.3,Medium
INC-SIM-1085,2,0,0,0,0,0,0,10.36,0,0,0,1,0,37.3,Low
INC-SIM-1086,1,1,0,0,0,0,0,13.06,0,0,0,0,0,30.4,Low
INC-SIM-1087,1,0,2,0,1,0,0,38.9,0,0,0,0,0,33.1,Low
INC-SIM-1088,2,1,1,0,1,0,0,256.76,0,0,0,1,0,64.3,Medium
INC-SIM-1089,1,1,0,0,0,0,0,2613.25,0,0,0,1,0,54.5,Medium
INC-SIM-1090,2,1,2,0,0,0,0,302.11,0,0,0,0,0,48.4,Medium
INC-SIM-1091,1,0,3,0,1,0,0,4.83,0,0,0,1,0,45.3,Medium
INC-SIM-1092,1,0,0,0,1,1,0,1727.28,0,0,0,0,0,53.6,Medium
INC-SIM-1093,1,1,0,0,1,0,0,426.78,1,0,1,1,0,77.9,High
INC-SIM-1094,3,1,0,0,1,0,0,3.06,1,0,0,0,0,69.6,High
INC-SIM-1095,1,1,0,0,0,0,0,749.92,0,0,0,0,0,30.7,Low
INC-SIM-1096,1,1,1,0,0,0,0,280.98,0,0,0,0,0,32.3,Low
INC-SIM-1097,1,0,1,0,0,0,0,6.86,0,0,0,0,0,18.0,Low
INC-SIM-1098,1,1,1,1,1,0,1,21.61,0,0,1,1,0,91.7,Critical
INC-SIM-1099,2,1,1,0,0,0,0,481.33,1,1,0,1,0,84.2,High
INC-SIM-1100,1,0,0,0,0,0,0,5.7,0,0,0,1,0,20.4,Low
INC-SIM-1101,2,1,2,0,0,0,0,714.01,0,0,0,1,0,67.3,High
INC-SIM-1102,2,1,1,0,0,1,0,81.82,0,0,0,0,0,58.6,Medium
INC-SIM-1103,1,0,0,0,0,1,0,998.47,1,0,0,0,0,47.8,Medium
INC-SIM-1104,3,0,2,0,0,0,0,7.54,0,0,0,0,0,46.6,Medium
INC-SIM-1105,1,1,1,0,0,0,0,369.86,0,0,0,0,0,33.9,Low
INC-SIM-1106,2,1,0,0,1,0,0,534.38,1,1,0,0,0,82.2,High
INC-SIM-1107,1,1,1,0,0,1,0,236.35,1,0,0,1,0,73.2,High
INC-SIM-1108,2,0,0,0,0,0,0,47.38,0,0,0,0,0,21.7,Low
INC-SIM-1109,1,1,0,1,1,1,0,205.31,1,0,0,0,0,76.7,High
INC-SIM-1110,1,0,1,0,0,0,0,14.25,0,0,0,0,0,13.6,Low
INC-SIM-1111,1,1,1,1,0,1,1,309.65,0,0,0,0,1,99.9,Critical
INC-SIM-1112,1,0,1,1,0,0,0,42.29,1,0,0,1,0,46.3,Medium
INC-SIM-1113,3,0,1,1,0,0,0,17.48,0,0,0,0,0,52.9,Medium
INC-SIM-1114,1,0,3,1,0,0,0,6.88,0,0,0,1,0,58.1,Medium
INC-SIM-1115,1,1,1,0,0,0,0,397.93,0,0,0,0,0,35.7,Low
INC-SIM-1116,2,1,1,0,1,0,0,362.19,0,0,0,0,0,56.4,Medium
INC-SIM-1117,1,0,1,0,1,0,0,26.3,0,0,0,1,0,34.1,Low
INC-SIM-1118,2,1,0,0,1,0,0,494.78,1,0,0,0,0,64.7,Medium
INC-SIM-1119,3,0,2,0,1,0,0,40.57,0,0,0,1,0,66.2,High
INC-SIM-1120,1,0,3,0,1,0,0,12.67,1,0,0,0,0,50.8,Medium
INC-SIM-1121,3,0,0,0,1,0,0,44.73,0,0,0,1,0,48.8,Medium
INC-SIM-1122,2,1,2,0,0,1,0,193.72,0,0,0,0,0,70.0,High
INC-SIM-1123,2,1,0,0,1,0,1,160.49,1,1,0,1,0,99.9,Critical
INC-SIM-1124,3,0,1,1,0,0,0,38.93,0,0,0,0,0,48.8,Medium
INC-SIM-1125,2,1,3,0,1,0,0,253.78,0,0,0,0,0,64.1,Medium
INC-SIM-1126,2,0,0,0,1,0,0,45.82,0,0,0,0,0,32.5,Low
INC-SIM-1127,2,1,1,0,1,1,0,213.41,0,0,0,1,0,80.8,High
INC-SIM-1128,2,1,1,0,0,0,0,13.32,0,0,0,1,0,48.6,Medium
INC-SIM-1129,2,0,0,1,1,0,0,38.46,1,0,0,1,0,60.8,Medium
INC-SIM-1130,1,1,2,0,0,1,0,1207.95,0,0,0,0,0,69.2,High
INC-SIM-1131,1,1,0,1,1,1,0,504.01,0,0,0,0,0,65.5,High
INC-SIM-1132,3,0,1,1,0,1,0,872.16,0,0,0,0,0,78.7,High
INC-SIM-1133,2,1,2,0,0,0,0,171.01,1,0,1,1,0,92.5,Critical
INC-SIM-1134,2,0,0,0,0,0,0,36.71,1,1,0,0,0,52.8,Medium
INC-SIM-1135,1,0,0,0,0,0,0,19.21,0,0,0,0,0,13.4,Low
INC-SIM-1136,2,0,2,0,0,0,0,15.43,0,0,0,1,0,48.0,Medium
INC-SIM-1137,3,0,0,0,0,1,0,317.99,0,0,0,1,0,70.2,High
INC-SIM-1138,2,0,1,0,0,0,0,3.68,0,0,0,1,0,37.3,Low
INC-SIM-1139,3,1,0,1,0,0,0,1398.02,1,0,0,0,0,87.4,Critical
INC-SIM-1140,2,0,1,0,0,0,0,8.13,1,0,0,0,0,43.8,Medium
INC-SIM-1141,3,0,2,0,1,0,0,33.69,1,0,0,1,0,78.1,High
INC-SIM-1142,2,1,2,1,0,0,0,93.47,0,0,0,1,0,70.4,High
INC-SIM-1143,2,0,3,0,0,0,0,7.57,0,0,0,0,0,46.5,Medium
INC-SIM-1144,2,0,0,0,0,0,0,26.27,0,0,0,0,0,21.8,Low
INC-SIM-1145,1,0,2,1,0,0,0,30.5,0,0,0,0,0,35.4,Low
INC-SIM-1146,1,0,0,1,0,0,0,46.69,1,0,0,0,0,41.1,Medium
INC-SIM-1147,1,1,2,1,1,0,0,626.13,0,0,0,0,0,63.2,Medium
INC-SIM-1148,3,1,0,0,0,0,0,378.62,0,0,0,0,0,56.8,Medium
INC-SIM-1149,1,1,0,0,1,0,1,1053.51,0,0,0,1,0,66.2,High
INC-SIM-1150,1,0,1,1,1,1,0,1069.57,0,0,0,1,1,95.4,Critical
INC-SIM-1151,1,0,3,1,1,1,0,419.62,0,0,0,1,0,83.3,High
INC-SIM-1152,2,1,2,0,0,0,0,307.09,0,0,0,1,0,62.9,Medium
INC-SIM-1153,2,1,0,1,1,1,0,45.37,0,0,0,0,0,74.5,High
INC-SIM-1154,1,1,3,0,1,0,0,590.08,0,0,0,0,0,59.8,Medium
INC-SIM-1155,2,1,2,0,0,1,0,476.77,0,0,0,0,0,70.7,High
INC-SIM-1156,2,0,1,0,0,0,0,37.74,1,0,0,0,0,40.8,Medium
INC-SIM-1157,1,0,0,0,0,0,0,7.49,0,0,0,0,0,13.0,Low
INC-SIM-1158,1,0,2,0,0,0,0,2.89,0,0,0,1,0,37.2,Low
INC-SIM-1159,1,1,2,0,0,0,0,2568.41,1,0,1,0,0,88.5,Critical
INC-SIM-1160,3,1,1,1,0,1,1,235.52,0,0,0,0,0,97.1,Critical
INC-SIM-1161,1,0,1,0,1,0,0,0.17,0,0,0,0,0,23.0,Low
INC-SIM-1162,3,0,0,0,1,0,0,5.64,1,0,0,1,0,65.2,High
INC-SIM-1163,1,0,0,0,0,0,0,2.43,0,0,0,0,0,13.0,Low
INC-SIM-1164,1,0,0,1,1,0,0,29.9,0,0,0,0,0,35.2,Low
INC-SIM-1165,1,1,0,0,0,1,1,1212.82,0,0,0,0,1,99.6,Critical
INC-SIM-1166,2,0,1,0,0,0,0,23.68,1,0,0,1,0,50.9,Medium
INC-SIM-1167,3,0,3,0,0,0,0,10.17,0,0,0,1,0,67.5,High
INC-SIM-1168,1,0,1,0,1,0,0,38.08,0,0,0,0,0,28.6,Low
INC-SIM-1169,3,0,3,0,1,1,0,3878.2,0,0,0,0,0,99.9,Critical
INC-SIM-1170,2,1,0,0,0,0,0,343.86,0,0,1,0,0,64.8,Medium
INC-SIM-1171,3,0,1,0,0,0,0,13.04,1,0,0,0,0,53.0,Medium
INC-SIM-1172,3,0,1,0,0,1,1,513.18,0,0,0,0,0,82.3,High
INC-SIM-1173,1,1,1,1,0,0,0,17.2,1,1,0,1,0,81.2,High
INC-SIM-1174,2,0,1,0,0,0,0,30.83,0,0,0,0,0,28.8,Low
INC-SIM-1175,2,0,1,0,1,0,0,40.66,0,0,0,1,0,49.3,Medium
INC-SIM-1176,1,0,1,1,0,0,0,18.65,0,0,0,0,1,53.9,Medium
INC-SIM-1177,1,1,2,0,1,0,0,238.42,0,0,0,0,0,45.7,Medium
INC-SIM-1178,2,0,2,0,0,0,0,10.57,1,1,0,0,0,64.1,Medium
INC-SIM-1179,3,1,1,0,1,0,1,442.2,1,0,0,0,0,95.7,Critical
INC-SIM-1180,1,1,0,1,0,1,0,347.37,1,0,0,1,0,84.2,High
INC-SIM-1181,2,1,0,1,0,0,1,337.26,0,0,1,0,0,83.8,High
INC-SIM-1182,2,1,2,0,0,0,0,672.87,0,0,0,0,0,55.8,Medium
INC-SIM-1183,1,0,0,0,0,0,0,20.4,0,0,0,0,0,10.4,Low
INC-SIM-1184,1,0,0,0,1,1,1,424.27,0,0,0,0,0,56.0,Medium
INC-SIM-1185,1,0,0,0,0,0,0,3.85,0,0,0,0,0,10.7,Low
INC-SIM-1186,1,0,3,0,0,1,0,203.79,1,1,1,0,0,95.1,Critical
INC-SIM-1187,3,0,0,1,1,0,0,34.75,0,0,0,0,0,51.1,Medium
INC-SIM-1188,1,0,1,0,0,0,0,27.5,1,0,0,1,0,43.5,Medium
INC-SIM-1189,1,1,2,1,0,0,0,138.55,0,0,0,1,0,62.2,Medium
INC-SIM-1190,2,0,3,0,0,0,0,17.98,1,0,0,1,0,64.0,Medium
INC-SIM-1191,2,1,0,0,0,1,0,255.09,1,1,0,0,0,83.5,High
INC-SIM-1192,2,0,1,0,1,0,0,25.02,0,0,0,0,0,38.0,Low
INC-SIM-1193,2,1,0,1,0,0,0,115.88,0,0,0,0,0,48.3,Medium
INC-SIM-1194,3,0,2,0,1,0,0,49.2,0,0,0,0,0,58.4,Medium
INC-SIM-1195,2,1,0,0,0,0,0,14.81,0,0,0,0,0,37.7,Low
INC-SIM-1196,2,1,0,0,1,0,0,305.83,0,0,1,0,0,65.4,High
INC-SIM-1197,2,1,1,0,1,0,0,612.07,0,0,0,0,0,59.7,Medium
INC-SIM-1198,1,1,1,0,0,0,0,504.62,0,0,0,1,0,48.5,Medium
INC-SIM-1199,2,0,0,0,0,0,0,0.48,0,0,0,1,1,56.1,Medium
INC-SIM-1200,2,0,2,0,0,0,0,38.05,0,0,0,0,0,36.3,Low
INC-SIM-1201,1,0,2,1,0,0,0,5.71,1,0,0,0,0,49.9,Medium
INC-SIM-1202,2,1,0,1,1,0,1,298.68,0,0,1,0,1,99.9,Critical
INC-SIM-1203,2,0,2,0,0,0,0,31.64,0,0,0,0,0,36.6,Low
INC-SIM-1204,1,0,1,0,1,0,0,13.37,1,1,0,0,1,80.0,High
INC-SIM-1205,2,1,3,1,0,1,0,621.35,1,0,0,0,0,99.9,Critical
INC-SIM-1206,2,1,2,0,0,0,1,230.28,1,0,0,1,0,91.9,Critical
INC-SIM-1207,2,0,1,0,0,0,0,10.89,0,0,0,0,0,31.2,Low
INC-SIM-1208,2,0,1,0,1,0,0,4.98,1,0,0,0,0,48.0,Medium
INC-SIM-1209,2,0,3,0,1,0,0,32.5,0,0,0,1,0,59.3,Medium
INC-SIM-1210,1,1,0,0,0,0,0,532.81,0,0,0,0,0,29.8,Low
INC-SIM-1211,1,1,0,0,1,1,0,70.88,0,0,0,1,0,60.7,Medium
INC-SIM-1212,1,1,2,0,1,0,0,4.26,0,0,0,1,0,60.8,Medium
INC-SIM-1213,1,0,1,1,0,0,0,37.62,0,0,0,0,1,52.8,Medium
INC-SIM-1214,1,0,1,0,0,0,0,34.52,1,0,0,0,0,31.6,Low
INC-SIM-1215,2,1,0,0,1,1,0,59.81,0,0,0,0,1,95.4,Critical
INC-SIM-1216,1,1,1,0,1,0,1,735.64,0,0,0,0,0,61.9,Medium
INC-SIM-1217,1,1,1,0,0,0,0,43.01,0,0,0,0,0,30.7,Low
INC-SIM-1218,3,0,0,0,1,0,0,3.31,0,0,0,1,0,53.9,Medium
INC-SIM-1219,1,0,1,0,0,0,0,37.08,0,0,0,0,0,17.9,Low
INC-SIM-1220,3,0,2,1,0,0,0,39.06,0,0,0,1,0,67.0,High
INC-SIM-1221,1,1,0,0,1,0,0,303.67,0,0,0,0,0,37.0,Low
INC-SIM-1222,2,1,0,0,0,1,0,319.11,0,0,0,1,0,70.4,High
INC-SIM-1223,2,1,2,0,0,0,0,158.22,0,0,0,0,0,53.5,Medium
INC-SIM-1224,3,1,0,0,0,1,0,402.7,0,0,0,0,0,76.1,High
INC-SIM-1225,2,0,1,0,1,0,0,45.02,1,0,0,0,0,50.7,Medium
INC-SIM-1226,3,1,3,0,1,1,0,54.88,0,0,0,0,0,96.8,Critical
INC-SIM-1227,3,1,0,1,1,0,0,233.0,1,0,0,0,0,85.2,Critical
INC-SIM-1228,2,1,0,0,0,1,0,664.68,0,0,0,0,0,64.1,Medium
INC-SIM-1229,2,0,0,0,0,0,0,26.8,1,0,0,0,0,37.3,Low
INC-SIM-1230,2,1,1,0,1,0,0,142.65,0,0,0,1,0,64.4,Medium
INC-SIM-1231,3,0,1,0,1,0,0,23.1,1,0,0,0,0,63.5,Medium
INC-SIM-1232,3,0,1,0,0,0,0,40.64,0,0,0,0,0,42.3,Medium
INC-SIM-1233,2,0,3,1,0,0,0,23.05,0,0,0,0,0,51.7,Medium
INC-SIM-1234,2,0,0,0,0,1,0,482.71,0,0,0,0,0,47.2,Medium
INC-SIM-1235,2,0,0,0,0,1,0,498.15,1,0,0,1,0,67.0,High
INC-SIM-1236,2,1,1,0,0,0,0,1130.55,1,0,1,0,0,87.7,Critical
INC-SIM-1237,3,1,0,0,0,1,1,28.77,1,0,1,1,0,99.9,Critical
INC-SIM-1238,1,0,2,0,1,0,0,35.03,1,0,0,0,0,40.3,Medium
INC-SIM-1239,3,1,1,0,0,0,0,123.47,0,0,0,1,0,69.9,High
INC-SIM-1240,3,1,0,0,0,1,0,936.97,1,1,0,1,0,99.9,Critical
INC-SIM-1241,1,0,0,0,1,0,0,48.03,0,0,0,0,1,43.5,Medium
INC-SIM-1242,2,0,1,0,0,0,0,6.37,0,0,0,1,1,59.7,Medium
INC-SIM-1243,1,1,3,0,0,1,1,124.8,0,0,1,0,0,96.8,Critical
INC-SIM-1244,1,1,0,1,0,1,0,154.09,0,0,0,0,0,62.6,Medium
INC-SIM-1245,1,0,2,1,1,0,0,18.94,0,0,0,0,0,44.6,Medium
INC-SIM-1246,2,0,0,1,0,0,0,47.58,0,0,0,0,0,31.7,Low
INC-SIM-1247,2,0,2,0,0,0,0,24.14,0,0,0,1,0,47.4,Medium
INC-SIM-1248,1,0,0,0,1,0,0,13.26,0,0,0,0,0,19.2,Low
INC-SIM-1249,2,1,0,0,0,0,0,458.41,0,0,0,0,0,46.8,Medium
INC-SIM-1250,1,0,1,0,0,0,0,9.24,1,0,0,0,0,32.5,Low
INC-SIM-1251,2,0,0,0,1,0,0,4.29,0,0,0,0,1,54.4,Medium
INC-SIM-1252,3,1,1,0,1,0,1,323.38,0,0,1,1,0,99.9,Critical
INC-SIM-1253,3,1,1,0,0,0,0,2079.22,1,0,0,0,1,99.9,Critical
INC-SIM-1254,2,1,0,1,1,0,0,253.21,0,0,0,0,0,61.9,Medium
INC-SIM-1255,2,1,1,0,0,0,0,710.19,1,1,0,0,0,76.9,High
INC-SIM-1256,2,0,1,0,0,0,0,7.19,0,0,0,1,0,39.6,Low
INC-SIM-1257,3,0,0,1,1,1,0,850.19,0,0,0,0,0,80.1,High
INC-SIM-1258,3,0,3,0,1,0,0,20.84,0,0,0,0,0,61.1,Medium
INC-SIM-1259,3,1,2,1,1,0,0,186.35,0,0,0,1,0,93.5,Critical
INC-SIM-1260,3,1,0,0,1,0,0,867.24,0,0,0,0,0,67.0,High
INC-SIM-1261,1,0,0,1,0,0,0,8.18,1,0,0,1,0,43.0,Medium
INC-SIM-1262,2,1,2,0,1,0,0,10.13,1,0,0,1,0,81.1,High
INC-SIM-1263,2,0,0,1,0,1,0,275.66,0,0,0,0,0,51.1,Medium
INC-SIM-1264,3,0,0,0,1,1,0,521.13,0,0,0,0,0,68.0,High
INC-SIM-1265,1,1,1,1,0,0,1,177.47,0,0,0,1,0,69.9,High
INC-SIM-1266,2,1,2,0,1,0,0,245.74,0,0,0,0,0,57.3,Medium
INC-SIM-1267,2,0,1,1,1,0,0,25.37,1,0,0,1,0,71.3,High
INC-SIM-1268,1,1,2,0,1,0,0,219.47,0,0,0,1,0,58.9,Medium
INC-SIM-1269,1,0,2,0,1,0,0,47.22,0,0,0,1,0,44.1,Medium
INC-SIM-1270,1,0,2,0,0,0,0,28.47,1,0,0,0,0,34.5,Low
INC-SIM-1271,2,0,1,0,0,0,0,13.68,1,0,0,1,0,52.2,Medium
INC-SIM-1272,2,1,1,1,0,0,0,233.49,0,0,0,1,0,65.3,High
INC-SIM-1273,2,1,0,0,0,0,0,444.18,0,0,1,0,0,60.0,Medium
INC-SIM-1274,1,1,3,0,1,0,0,1479.07,1,0,0,1,0,85.5,Critical
INC-SIM-1275,2,0,0,0,1,0,0,43.83,0,0,0,0,0,36.1,Low
INC-SIM-1276,2,0,1,0,0,0,0,23.72,0,0,0,1,0,40.1,Medium
INC-SIM-1277,1,1,1,0,0,0,0,55.42,0,0,0,0,0,33.1,Low
INC-SIM-1278,1,0,0,1,0,0,0,24.82,0,0,0,1,0,33.8,Low
INC-SIM-1279,1,1,3,1,1,0,0,358.42,0,0,0,0,0,67.7,High
INC-SIM-1280,2,0,0,0,0,1,0,670.74,0,0,0,1,0,58.6,Medium
INC-SIM-1281,3,1,0,0,0,0,1,48.78,1,0,0,1,0,83.8,High
INC-SIM-1282,2,1,2,0,1,0,1,86.82,0,0,0,1,0,87.1,Critical
INC-SIM-1283,1,0,0,0,1,1,1,70.01,1,0,0,0,0,65.5,High
INC-SIM-1284,2,1,2,0,0,1,0,206.47,0,0,0,0,0,72.2,High
INC-SIM-1285,1,0,1,0,1,0,0,49.39,0,0,0,1,0,39.3,Low
INC-SIM-1286,3,0,1,0,1,0,0,11.14,0,0,0,0,0,46.1,Medium
INC-SIM-1287,2,1,1,1,0,0,0,529.75,0,0,0,0,0,62.2,Medium
INC-SIM-1288,2,0,1,0,1,1,0,27.9,0,0,0,0,0,58.1,Medium
INC-SIM-1289,2,0,1,1,0,0,0,11.09,0,0,0,1,1,74.3,High
INC-SIM-1290,2,0,0,0,1,0,0,5.35,0,0,0,0,1,60.0,Medium
INC-SIM-1291,1,0,2,1,0,0,0,46.33,1,0,0,1,0,53.1,Medium
INC-SIM-1292,1,0,1,0,1,1,0,354.98,1,0,0,0,0,54.3,Medium
INC-SIM-1293,1,0,1,1,0,0,0,48.98,1,0,0,0,1,68.2,High
INC-SIM-1294,1,0,2,1,0,0,0,43.04,0,0,0,1,0,43.9,Medium
INC-SIM-1295,1,1,0,0,1,1,0,1588.94,0,0,0,0,0,66.2,High
INC-SIM-1296,2,1,1,1,1,0,0,825.92,0,0,0,0,0,72.5,High
INC-SIM-1297,1,1,0,0,0,1,0,174.88,1,0,1,0,0,75.4,High
INC-SIM-1298,2,0,0,1,1,0,0,33.22,1,0,0,1,1,84.3,High
INC-SIM-1299,1,0,0,0,0,0,0,43.51,1,1,0,1,0,47.2,Medium
INC-SIM-1300,2,1,0,0,1,0,0,360.62,0,0,0,0,0,48.6,Medium
